index,index_in_dataset,t_fgsm,t_dlfuzz,kl_fgsm,kl_dlfuzz,ws_fgsm,ws_dlfuzz,js_fgsm,js_dlfuzz,mse_fgsm,mse_dlfuzz
0,8374,1.045339822769165,0.8444361686706543,0.27510836045346443,0.5476023567100742,0.0005931531546146565,0.0010633972498918435,0.04279867352885994,0.1277111628191111,0.013654088589495357,0.03393296997090927
0,8374,1.045339822769165,0.8444361686706543,0.27510836045346443,0.5476023567100742,0.0005931531546146565,0.0010633972498918435,0.04279867352885994,0.1277111628191111,0.013654088589495357,0.03393296997090927
1,6935,0.019295454025268555,1.4545950889587402,,0.7181784853498501,,0.0012875484499298082,,0.18819648916866247,,0.05034110380634029
2,5103,0.006830930709838867,0.7729253768920898,0.40583453943625014,,0.0008369126495723465,,0.08648215947739912,,0.013486141950857228,
3,8963,0.006734609603881836,0.7392711639404297,,0.6936711169252273,,0.0012430664636488274,,0.1903294433571699,,0.02976596653255181
4,4993,0.005255222320556641,0.7366864681243896,,1.2877110154466178,,0.0018157488013877648,,0.47509154977703383,,0.05906410575765074
5,9069,0.0061261653900146484,0.7549149990081787,0.37092077253404754,0.6545823228757818,0.0007834319398301198,0.0012128702848006273,0.07042072495567453,0.16931373636441754,0.014183978305955261,0.030548348417429802
5,9069,0.0061261653900146484,0.7549149990081787,0.37092077253404754,0.6545823228757818,0.0007834319398301198,0.0012128702848006273,0.07042072495567453,0.16931373636441754,0.014183978305955261,0.030548348417429802
6,3924,0.006090402603149414,0.759716272354126,,0.9524149017803005,,0.001527975539165072,,0.3130086153624164,,0.03821074291034984
7,399,0.005907535552978516,0.7499287128448486,0.45740124561371104,0.9013245013075356,0.0009150427016651735,0.0014929698534934263,0.09128762644703364,0.27328884508502443,0.01366922116804976,0.043666620119622426
7,399,0.005907535552978516,0.7499287128448486,0.45740124561371104,0.9013245013075356,0.0009150427016651735,0.0014929698534934263,0.09128762644703364,0.27328884508502443,0.01366922116804976,0.043666620119622426
8,6863,0.0059010982513427734,0.7345747947692871,,0.8961759704040779,,0.001485077824404275,,0.2812209096927855,,0.032934606838267495
9,7440,0.006058692932128906,0.7459602355957031,,0.7244263554478381,,0.0012849411500966653,,0.20113125805902157,,0.024139670679870752
10,9534,0.0055849552154541016,0.7649128437042236,0.490049107766455,0.7193158463836776,0.0009632761138756967,0.0012913747765089653,0.10256350050889021,0.1941498198027231,0.014310320888842794,0.023559940438603228
10,9534,0.0055849552154541016,0.7649128437042236,0.490049107766455,0.7193158463836776,0.0009632761138756967,0.0012913747765089653,0.10256350050889021,0.1941498198027231,0.014310320888842794,0.023559940438603228
11,5845,0.005482912063598633,0.7441048622131348,0.44930540524449575,,0.0009042090147598315,,0.09220356135908508,,0.014358573697619214,
13,7005,0.005333662033081055,0.7387433052062988,,1.341188301888364,,0.001862935205074477,,0.4999076906664148,,0.03628371165644423
14,7296,0.006101846694946289,0.7390275001525879,0.5246301364802907,0.9190595884577453,0.0010169909544466703,0.0015130872127446077,0.11571527970139728,0.2868675925562646,0.015344284445610347,0.04304581637073016
14,7296,0.006101846694946289,0.7390275001525879,0.5246301364802907,0.9190595884577453,0.0010169909544466703,0.0015130872127446077,0.11571527970139728,0.2868675925562646,0.015344284445610347,0.04304581637073016
15,5587,0.005295753479003906,0.7097434997558594,,0.9183207371316506,,0.0015114227367608096,,0.2939264969252323,,0.04344556490595225
16,416,0.005373954772949219,0.7426567077636719,,1.3370063741262368,,0.001859489239357687,,0.49626737043824865,,0.04864503029256382
17,5837,0.005566835403442383,0.739816427230835,0.5323712425489157,0.9206075231106204,0.0010335678854312478,0.001515930523573055,0.11499902521608421,0.28140626046685113,0.013500762594335497,0.033745772400443214
17,5837,0.005566835403442383,0.739816427230835,0.5323712425489157,0.9206075231106204,0.0010335678854312478,0.001515930523573055,0.11499902521608421,0.28140626046685113,0.013500762594335497,0.033745772400443214
19,9965,0.0051004886627197266,0.7364382743835449,,0.8965845551786922,,0.0014789461312789067,,0.28812176481452545,,0.02889659531922801
20,9462,0.0055119991302490234,0.7341699600219727,,0.769268953376182,,0.0013425373941456946,,0.22312486881862637,,0.03155407062261252
22,1642,0.0052337646484375,0.7487244606018066,0.47082604951901297,0.7025963083853961,0.0009327307111882228,0.0012676885489977556,0.11129309146389102,0.20138831340702057,0.013829429783849784,0.021046000101113654
22,1642,0.0052337646484375,0.7487244606018066,0.47082604951901297,0.7025963083853961,0.0009327307111882228,0.0012676885489977556,0.11129309146389102,0.20138831340702057,0.013829429783849784,0.021046000101113654
26,8622,0.005633115768432617,0.7336430549621582,,0.709407660098569,,0.0012570297039096036,,0.1913384509011674,,0.02485996210132858
27,7541,0.00617218017578125,0.7457718849182129,0.6568218710580401,0.963681854350893,0.0011951493716154758,0.0015308181430271765,0.167698252878,0.3091478086682779,0.013703901043014239,0.02327832149681521
27,7541,0.00617218017578125,0.7457718849182129,0.6568218710580401,0.963681854350893,0.0011951493716154758,0.0015308181430271765,0.167698252878,0.3091478086682779,0.013703901043014239,0.02327832149681521
28,3478,0.0053174495697021484,0.7355499267578125,,0.8285005699163352,,0.001410535337968862,,0.2447196974966754,,0.030322970208947836
30,1042,0.005660533905029297,0.737877607345581,0.39231727408379674,0.7057870113277903,0.0008152956837559901,0.001277482412002207,0.07939045795446109,0.19632482903072845,0.0153044319508928,0.03538733001617804
30,1042,0.005660533905029297,0.737877607345581,0.39231727408379674,0.7057870113277903,0.0008152956837559901,0.001277482412002207,0.07939045795446109,0.19632482903072845,0.0153044319508928,0.03538733001617804
31,9323,0.006020545959472656,0.7315659523010254,,1.0455293994754142,,0.0016195850078941617,,0.34766160600532187,,0.04647117269371872
32,1002,0.00543975830078125,0.7459008693695068,,0.7114498996848607,,0.001281744343332501,,0.19150825512308334,,0.026050385812715682
34,4285,0.006409168243408203,0.7452809810638428,,0.5772435930318838,,0.0011068483195838627,,0.14445135927906072,,0.028837390893520543
35,1229,0.0064525604248046875,1.459045648574829,0.49009027522829696,,0.0009634387842385665,,0.1093517749490312,,0.0133703345810856,
37,4144,0.0056078433990478516,0.8488953113555908,0.6988723924882024,,0.0012600106127554956,,0.1872910600060815,,0.01490255402667846,
38,7307,0.0055277347564697266,0.785170316696167,0.6869652583128618,,0.0012470497404687678,,0.18341839804588156,,0.015766882852620186,
39,4096,0.0055692195892333984,0.7570393085479736,,0.9717378609901741,,0.0015467678149995298,,0.3077607028740764,,0.02916142534339102
40,5947,0.0060198307037353516,0.7576406002044678,0.29409063543181724,,0.0006396121298780167,,0.047144872656820325,,0.013846655018827262,
41,4873,0.0062103271484375,0.7699017524719238,0.49647042577833367,,0.0009691355168043665,,0.11184584586379881,,0.013639394754736321,
