index,index_in_dataset,kl_fgsm,kl_dlfuzz,kl_lava,kl_lavam,ws_fgsm,ws_dlfuzz,ws_lava,ws_lavam,js_fgsm,js_dlfuzz,js_lava,js_lavam
27,7541,1.3181738512659664,0.8749948439963522,0.9246407994103721,0.2871255852429354,0.0016296253097385879,0.001434587060052919,0.00011316284831103985,0.00018532501978783732,0.5217660690093999,0.2685816613031935,0.5314039557859448,0.1798735580703634
40,5947,0.7200381473406865,0.33278906332318114,0.32447565510098075,0.20818251222978157,0.0011305968945916878,0.0007113528516101823,0.00024136929358331671,0.00020212980905221097,0.23399210657804834,0.05792940688416194,0.14567309102990644,0.09533186059665504
58,3384,1.3627044995896191,0.6164238364959209,10.737892360747104,0.6544930928615473,0.0017189583870259482,0.0011608027805653904,0.000235195278623432,0.0003351681071615332,0.5365518679899841,0.15327850519790745,5.5088881817859106,0.401339219350335
62,1956,1.012843139982601,0.6898567138775624,9.586730665180456,0.3608705152723544,0.0014220409026894558,0.001242150307526441,0.00029858218648746326,0.00016022949380624133,0.3815430366129498,0.19251964401620753,4.965356951037849,0.23088243629262756
87,6725,1.0904869085078657,0.7117783327718452,15.02527905237835,0.3641324333127972,0.0014955555825092951,0.001265626830113284,0.000290750881112434,0.0002201945525532791,0.40874178133407785,0.19903159299728676,7.634841563558607,0.23999782167327394
90,7404,1.1921393088505186,0.9353667392459761,0.36043536178828944,0.19666060102156419,0.001594329117533926,0.0015205744202026086,0.00011715489198799617,9.375438007824391e-05,0.4367994000581011,0.2907657499080386,0.2052071662059715,0.10952418306206303
104,2582,1.1498619828547065,0.6084977077960455,10.35832309162555,0.41406301476253893,0.0015178348010724818,0.0011433650589914345,0.00029989383010816295,4.868408056347114e-05,0.43289067472170417,0.15003305732860045,5.296233532850646,0.290059135764865
107,1045,0.9822602948424356,0.6644763896883229,0.1349794207104433,0.1576516805799714,0.001457016275359939,0.0012292933965978264,8.660817481350496e-05,9.686914506604274e-05,0.3432405570017537,0.16932632012929147,0.06695321463957138,0.08054639429364917
109,2737,1.1392803015131197,0.7646958449902226,0.2734213772670954,0.20392452608555006,0.0015151012558987213,0.0013215670308347862,0.00013316550926182976,0.00011367523690474845,0.43844633719192094,0.22467001749915144,0.1821291706453856,0.14054292125045645
121,4019,1.2285429943287478,0.9969616409808684,7.323568816698838,0.37327239587848715,0.0015621894109427632,0.0015518031849509426,0.00018636136256691905,0.0001844342781804001,0.47603383050199133,0.32972637904648605,3.742857888784227,0.23012884039891096
143,4259,1.227588734647908,1.1062834408548952,8.645063078986064,0.13224876060962665,0.0015982540885989829,0.0016710975406911154,0.00039429526666037316,0.00014688080602761252,0.469376656179315,0.3804813886921272,4.609623891491289,0.11888322620239393
181,3160,1.3071434053268152,0.9608430270830113,1.1895595070288283,0.28042704190768575,0.0016464020072753335,0.0015376779341548595,0.00019477503579336196,0.00018316235074192517,0.5268296928406443,0.30788318354573685,0.7114475888531593,0.17253168377871536
